State,CDC Website,CDC Website,CDC Website,CDC Website,CDC Website,CDC Website,CDC Website,CDC Website,CDC Website,CDC Website,CDC Website,CDC Website,CDC Website,CDC Website
Alabama,http://hivtest.cdc.gov/Detail.aspx?id=19465&id=113040&id=12647&id=37135&id=113610&id=12651&id=112092&id=110287&id=12688&id=37132&id=12692&id=12696&id=37134&id=37133&id=22624&id=5912&id=37129&id=37126&id=626&id=30795&id=24168&id=19807&id=5092&id=12645&id=12660&id=12679&id=18631&id=12662&id=12673&id=12709&id=5044&id=12641&id=113656&id=113658&id=12663&id=12687&id=12697&id=12706&id=113657&id=12698&id=19825&id=22513&id=19824&id=12667&id=24201&id=12646&id=12666&id=12672&id=113607&id=12650&id=113611&id=12659&id=12670&id=12674&id=113612&id=12694&id=113614&id=12704&id=12707&id=19808&id=12708&id=12710&id=113608&id=22601&id=5090&id=113613&id=113609&id=113615&id=12675&id=12640&id=12695&id=3801&id=12637&id=12658&id=12668&id=12690&id=17752&id=37136&id=12643&id=12671&id=12683&id=37138&id=12648&id=37142&id=112521&id=19826&id=112517&id=37141&id=26339&id=111796&id=1789&id=15450&id=112515&id=112514&id=112520&id=23852&id=112516&id=111795&id=12699&id=19828&id=12644&id=12669&id=12678&id=12681&id=12689&id=12652&id=12700&id=12693&id=27982&id=112519&id=113067,,,,,,,,,,,,,
Arkansas,http://hivtest.cdc.gov/Detail.aspx?id=32886&id=4758&id=113740&id=37198&id=113736&id=109532&id=113737&id=37199&id=17813&id=17827&id=37219&id=113739&id=21623&id=109534&id=109538&id=113741&id=37200&id=113738&id=17836&id=12801&id=109714&id=37222&id=109543&id=37203&id=37206&id=109545&id=37205&id=37204&id=37207&id=17834&id=4756&id=109544&id=17839&id=17833&id=109548&id=22397&id=109539&id=37184&id=109531&id=37185&id=37228&id=12791&id=109547&id=37195&id=37232&id=37187&id=17830&id=37211&id=109540&id=37233&id=37183&id=17844&id=37182&id=37196&id=35315&id=4757&id=5916&id=17825&id=12784&id=12805&id=37197&id=6334&id=37193&id=17838&id=109527&id=17822&id=37360&id=17828&id=17820&id=17843&id=6335&id=17832&id=37190&id=109529&id=4755&id=37191&id=109526&id=37188&id=12809&id=12783&id=109528&id=109546&id=37208&id=109530&id=111889&id=12803&id=110890&id=37209&id=4752&id=111890&id=113097&id=113098&id=17840&id=37213&id=37230&id=37231&id=37215&id=4754&id=37214&id=37212&id=37210&id=37227,,,,,,,,,,,,,
California,http://hivtest.cdc.gov/Detail.aspx?id=9769&id=109267&id=111161&id=7471&id=113245&id=111232&id=111985&id=113133&id=13788&id=111330&id=31740&id=28650&id=10285&id=113576&id=111782&id=29473&id=10318&id=7746&id=113114&id=16956&id=111490&id=111165&id=112374&id=4617&id=34347&id=18306&id=7710&id=16905&id=111989&id=111491&id=109886&id=113767&id=16913&id=21428&id=36027&id=111991&id=111984&id=111987&id=110056&id=111717&id=111086&id=111990&id=111468&id=113115&id=32745&id=10702&id=111329&id=25689&id=18556&id=110728,http://hivtest.cdc.gov/Detail.aspx?id=110046&id=112741&id=3194&id=223&id=109884&id=110075&id=29475&id=101097&id=10695&id=111992&id=111988&id=111986&id=16241&id=111156&id=110049&id=7634&id=111224&id=29405&id=111326&id=29412&id=29826&id=32016&id=111686&id=111285&id=109537&id=111159&id=111806&id=110432&id=16914&id=112347&id=111936&id=113116&id=111935&id=111780&id=7703&id=10573&id=36739&id=5921&id=111227&id=16909&id=34775&id=111671&id=111168&id=16901&id=7829&id=16902&id=112863&id=112864&id=111320&id=111325,http://hivtest.cdc.gov/Detail.aspx?id=16911&id=110189&id=111318&id=7719&id=100598&id=111667&id=16907&id=113219&id=19427&id=17013&id=27445&id=110051&id=16915&id=113242&id=25923&id=113498&id=111085&id=112371&id=15874&id=112370&id=111966&id=112916&id=2348&id=111129&id=2349&id=109533&id=100251&id=110326&id=110528&id=100239&id=111128&id=111580&id=100238&id=111651&id=111131&id=22018&id=112919&id=2350&id=111133&id=112373&id=111650&id=37137&id=37287&id=36238&id=111480&id=22020&id=22019&id=111244&id=19900&id=22090,http://hivtest.cdc.gov/Detail.aspx?id=7831&id=28817&id=112889&id=111142&id=112372&id=34663&id=2354&id=107825&id=2358&id=577&id=2357&id=111145&id=111253&id=35709&id=37237&id=111143&id=111141&id=14408&id=111139&id=21216&id=8381&id=36194&id=110653&id=111140&id=109164&id=111137&id=112922&id=111138&id=112857&id=30530&id=37317&id=19912&id=37319&id=25342&id=25344&id=112986&id=112565&id=111130&id=112987&id=110870&id=25347&id=112566&id=113417&id=30529&id=111135&id=112988&id=113765&id=113418&id=113419&id=18152,http://hivtest.cdc.gov/Detail.aspx?id=113044&id=25836&id=25837&id=17014&id=25911&id=111252&id=113675&id=113211&id=113763&id=111125&id=5145&id=112984&id=17011&id=111136&id=37069&id=37322&id=111724&id=37323&id=37318&id=111134&id=30531&id=113764&id=37066&id=111122&id=113488&id=21122&id=8824&id=37306&id=111127&id=111123&id=111948&id=113344&id=5927&id=646&id=113465&id=111121&id=37308&id=111978&id=111124&id=111949&id=37320&id=100323&id=25524&id=100326&id=25521&id=112914&id=30449&id=25515&id=111673&id=111675,http://hivtest.cdc.gov/Detail.aspx?id=111674&id=112904&id=111672&id=110891&id=111677&id=25819&id=112915&id=5928&id=2371&id=100327&id=27419&id=112770&id=32761&id=2368&id=111917&id=113704&id=112764&id=111943&id=21613&id=111944&id=113204&id=25366&id=110089&id=25734&id=113592&id=100356&id=113594&id=7707&id=112783&id=25248&id=113595&id=111920&id=111921&id=22169&id=112768&id=6307&id=21614&id=22167&id=113597&id=110077&id=110090&id=113598&id=112779&id=110088&id=113599&id=113596&id=113689&id=100353&id=25737&id=21615,http://hivtest.cdc.gov/Detail.aspx?id=111928&id=22168&id=113593&id=113600&id=112350&id=6306&id=32900&id=23574&id=9433&id=111579&id=7704&id=113702&id=111919&id=111910&id=2565&id=22166&id=113703&id=111918&id=110091&id=113263&id=113265&id=113266&id=24808&id=110772&id=26462&id=203&id=109314&id=100322&id=17019&id=7711&id=25537&id=26461&id=2378&id=100328&id=19918&id=110041&id=25566&id=2380&id=28669&id=23268&id=2382&id=111617&id=13163&id=25568&id=112348&id=17007&id=113264&id=112558&id=112762&id=25283,http://hivtest.cdc.gov/Detail.aspx?id=113205&id=112781&id=25801&id=112559&id=9431&id=4733&id=5126&id=113212&id=112773&id=25250&id=113591&id=25253&id=111583&id=112774&id=112775&id=25255&id=112780&id=113213&id=111947&id=25256&id=112384&id=111926&id=37272&id=111923&id=111924&id=111927&id=5918&id=111922&id=25237&id=111925&id=9432&id=37299&id=37301&id=2387&id=110070&id=37294&id=37295&id=37292&id=111880&id=37293&id=37296&id=37303&id=112436&id=112453&id=25455&id=111718&id=112853&id=100334&id=2334&id=112434,http://hivtest.cdc.gov/Detail.aspx?id=10770&id=8793&id=112743&id=25454&id=100333&id=112855&id=113032&id=16104&id=3076&id=35803&id=305&id=16213&id=24086&id=35989&id=113192&id=100260&id=9365&id=4643&id=11825&id=12425&id=110675&id=16989&id=112004&id=112769&id=111272&id=112016&id=110676&id=24415&id=110641&id=11894&id=100263&id=112957&id=10756&id=14516&id=112958&id=112015&id=113409&id=112451&id=7492&id=109268&id=6132&id=11896&id=112449&id=112450&id=11895&id=16167&id=112346&id=100335&id=25398&id=6168,http://hivtest.cdc.gov/Detail.aspx?id=6165&id=21351&id=111664&id=26081&id=2415&id=111723&id=7467&id=110991&id=16187&id=3778&id=10465&id=6166&id=25286&id=2412&id=6167&id=110563&id=6250&id=113023&id=19948&id=16247&id=16338&id=100349&id=7712&id=111478&id=16128&id=113022&id=112581&id=27791&id=2416&id=112767&id=16126&id=6129&id=113209&id=2418&id=22886&id=36325&id=24796&id=18&id=113616&id=6183&id=7463&id=16072&id=112043&id=37276&id=110565&id=111665&id=17004&id=20103&id=31758&id=111559,http://hivtest.cdc.gov/Detail.aspx?id=11842&id=113210&id=111558&id=113214&id=111557&id=111856&id=112093&id=25715&id=113215&id=28883&id=112504&id=10754&id=111163&id=23733&id=5929&id=109264&id=2429&id=113356&id=100344&id=2430&id=113470&id=29487&id=100338&id=113382&id=16096&id=10755&id=16962&id=13950&id=5925&id=2906&id=112213&id=100337&id=10753&id=113381&id=112454&id=113408&id=24806&id=100267&id=7715&id=25858&id=25866&id=111614&id=111726&id=111722&id=112127&id=25800&id=25857&id=27444&id=18663&id=2436,http://hivtest.cdc.gov/Detail.aspx?id=7085&id=112131&id=112128&id=9434&id=112133&id=25838&id=25841&id=111720&id=111721&id=111743&id=112134&id=112132&id=112129&id=112135&id=112136&id=113379&id=19931&id=17021&id=25865&id=111164&id=111746&id=112137&id=100360&id=110167&id=19922&id=111685&id=111877&id=112006&id=113679&id=7717&id=25251&id=110864&id=19917&id=25259&id=25257&id=24376&id=5121&id=111214&id=24268&id=112490&id=100004&id=27874&id=112356&id=113766&id=25327&id=111814&id=5917&id=111900&id=25329&id=25330,http://hivtest.cdc.gov/Detail.aspx?id=25395&id=111901&id=25339&id=19896&id=25764&id=25468&id=17025&id=25446&id=111615&id=111146&id=112593&id=25285&id=111157&id=37252&id=2446&id=100350&id=30779&id=110705&id=14495&id=5143&id=110708&id=7722&id=112246&id=110723&id=37349&id=110317&id=37327&id=111876&id=112592&id=110993&id=110994&id=2456&id=25406&id=110995&id=25260&id=111591&id=111793&id=110558&id=25407&id=25267&id=37305&id=111007&id=25269&id=25408&id=2455&id=25560&id=25404&id=110997&id=110998&id=111008,http://hivtest.cdc.gov/Detail.aspx?id=25771&id=110610&id=110564&id=25723&id=25724&id=37289&id=113178&id=25718&id=111278&id=26065&id=113177&id=111577&id=111812&id=19905&id=25728&id=25456&id=37315&id=111627&id=25390&id=26068&id=37309&id=7730&id=24458
District of Columbia,http://hivtest.cdc.gov/Detail.aspx?id=18562&id=111449&id=112551&id=17030&id=28316&id=5163&id=110334&id=6300&id=110335&id=17032&id=18568&id=11826&id=7584&id=23576&id=112546&id=19753&id=18453&id=23922&id=11237&id=112549&id=110273&id=21806&id=17044&id=112550&id=26292&id=23818&id=14550&id=111640&id=113334&id=112146&id=17046&id=110620&id=22880&id=1524&id=110235&id=20162&id=1526&id=29347&id=170,,,,,,,,,,,,,
Florida,http://hivtest.cdc.gov/Detail.aspx?id=100159&id=100158&id=113165&id=1752&id=15325&id=19822&id=5190&id=15324&id=100052&id=15313&id=112242&id=113159&id=19392&id=15294&id=100162&id=100101&id=113161&id=1751&id=113160&id=113163&id=17108&id=19440&id=1753&id=113162&id=100071&id=100091&id=100074&id=851&id=100089&id=100095&id=100072&id=100086&id=100092&id=5937&id=100087&id=113662&id=100142&id=1755&id=5941&id=100145&id=111820&id=19665&id=19369&id=100102&id=19393&id=112240&id=19818&id=100147&id=19704&id=19400,http://hivtest.cdc.gov/Detail.aspx?id=112243&id=19719&id=112241&id=19606&id=1756&id=19687&id=19391&id=19474&id=19684&id=109995&id=19702&id=100236&id=100107&id=112245&id=3444&id=111465&id=112238&id=112239&id=100163&id=5254&id=112788&id=19406&id=109839&id=112589&id=100008&id=15321&id=100012&id=15306&id=19811&id=113166&id=1759&id=113164&id=100178&id=110667&id=17107&id=112062&id=19838&id=19458&id=111311&id=10874&id=110722&id=1761&id=34962&id=100172&id=110671&id=110669&id=113054&id=110803&id=113667&id=113666,http://hivtest.cdc.gov/Detail.aspx?id=1764&id=31465&id=100026&id=113707&id=112596&id=19884&id=113706&id=112597&id=100125&id=100031&id=19338&id=111350&id=110351&id=111351&id=111347&id=111349&id=111356&id=5&id=112600&id=100154&id=100157&id=24454&id=14780&id=2551&id=100036&id=19836&id=110215&id=100064&id=110636&id=36806&id=100075&id=100059&id=37035&id=100057&id=111816&id=37354&id=16643&id=26609&id=112272&id=113577&id=19834&id=24923&id=110357&id=37032&id=5939&id=109887&id=23426&id=112771&id=111348&id=113494,http://hivtest.cdc.gov/Detail.aspx?id=110802&id=113294&id=111817&id=113495&id=110800&id=112276&id=14776&id=110738&id=111713&id=113761&id=26169&id=10452&id=7082&id=5199&id=5942&id=112772&id=5173&id=5935&id=113021&id=100110&id=100109&id=5178&id=112482&id=100189&id=19667&id=113475&id=112463&id=15323&id=14962&id=14791&id=110071&id=100212&id=110072&id=15076&id=4499&id=100119&id=112604&id=112265&id=100118&id=20333&id=112267&id=100112&id=100123&id=100113&id=3448&id=110804&id=19839&id=112253&id=14355&id=29803,http://hivtest.cdc.gov/Detail.aspx?id=100219&id=113376&id=3449&id=100215&id=113374&id=112523&id=100216&id=23712&id=113375&id=15082&id=15029&id=100214&id=15013&id=15002&id=15026&id=113377&id=100220&id=112564&id=100134&id=1779&id=100139&id=100141&id=19699&id=10364&id=110750&id=4721&id=5194&id=1780&id=100056&id=110970&id=111068&id=5175&id=100047&id=5940&id=27714&id=1772&id=5172&id=113059&id=110213&id=1760&id=100048&id=100050&id=112435&id=15322&id=15311&id=36737&id=14960&id=14790&id=14961&id=29730,http://hivtest.cdc.gov/Detail.aspx?id=110719&id=100185&id=100183&id=110670&id=100133&id=100184&id=100230&id=110720&id=32916&id=110893&id=12999&id=19441&id=31793&id=100152&id=100151&id=100169&id=100168&id=112718&id=2552&id=36120,,,,,,,,
Georgia,http://hivtest.cdc.gov/Detail.aspx?id=5273&id=15047&id=15050&id=1722&id=110633&id=112398&id=17348&id=19927&id=36772&id=100461&id=111402&id=36774&id=109183&id=100468&id=100462&id=23879&id=112628&id=17324&id=112156&id=17330&id=17332&id=17333&id=17334&id=17352&id=109360&id=17418&id=109370&id=1725&id=111414&id=109359&id=17315&id=29927&id=17386&id=17393&id=17400&id=1726&id=17417&id=100466&id=11995&id=17438&id=1728&id=17486&id=23065&id=17497&id=111792&id=1730&id=111774&id=5943&id=113043&id=23723,http://hivtest.cdc.gov/Detail.aspx?id=17298&id=30656&id=112170&id=26023&id=15879&id=112666&id=112665&id=21518&id=112072&id=1787&id=10692&id=18311&id=112664&id=100463&id=17482&id=5794&id=17337&id=112472&id=17432&id=5271&id=17441&id=17444&id=17450&id=17396&id=6098&id=5322&id=111365&id=17483&id=112255&id=110915&id=1736&id=1735&id=17319&id=15046&id=17331&id=17338&id=17339&id=17343&id=17351&id=17356&id=17336&id=17384&id=112483&id=17411&id=109978&id=113386&id=17488&id=17410&id=109354&id=1737,http://hivtest.cdc.gov/Detail.aspx?id=35893&id=17347&id=17354&id=17382&id=17399&id=17402&id=17429&id=17346&id=17436&id=17445&id=113384&id=17492&id=17493&id=17496&id=109362&id=17335&id=5268&id=1738&id=1739&id=112631&id=1742&id=1741&id=20048&id=17395&id=17294&id=17431&id=17487&id=17491&id=20049&id=17495&id=5264&id=5944&id=112510&id=112256&id=17326&id=113682&id=113683&id=17340&id=112613&id=17344&id=112614&id=1743&id=112615&id=17381&id=17389&id=17392&id=5795&id=17397&id=17420&id=5793,http://hivtest.cdc.gov/Detail.aspx?id=17443&id=17446&id=17457&id=113684&id=17472&id=5792&id=112617&id=17475&id=17477&id=17478&id=109365&id=17490&id=6097&id=5272&id=5270&id=11497&id=11494&id=11505&id=17479&id=11495&id=110867&id=36775&id=5275&id=112626&id=17494&id=17287&id=17316&id=17317&id=111070&id=5266&id=17359&id=111369&id=17388&id=17408&id=112126&id=112471&id=17451&id=11506&id=17425&id=17421&id=112624&id=17412&id=112625&id=17452&id=17459&id=1746&id=19921&id=1747&id=17295&id=17288,http://hivtest.cdc.gov/Detail.aspx?id=17329&id=17387&id=17428&id=17456&id=17449&id=17469&id=17484&id=5279&id=5280&id=109441&id=17349&id=112612&id=17383&id=17401&id=17434&id=17437&id=17470&id=20046&id=17485&id=11379&id=5265&id=17318&id=17327&id=17342&id=17350&id=17355&id=1748&id=17390&id=17394&id=112616&id=17448&id=17454,,,,,,,,,
Illinois,http://hivtest.cdc.gov/Detail.aspx?id=110557&id=36155&id=14832&id=112678&id=112184&id=14669&id=100396&id=100398&id=113143&id=111913&id=5331&id=2033&id=15396&id=14929&id=14836&id=11814&id=113588&id=111912&id=113547&id=111802&id=2036&id=110556&id=110814&id=113546&id=110807&id=110541&id=5949&id=113338&id=111103&id=32355&id=28064&id=110810&id=25871&id=32356&id=28188&id=7744&id=16965&id=5898&id=112811&id=112165&id=6923&id=7106&id=109223&id=113142&id=26157&id=28762&id=32352&id=110857&id=110830&id=113542&id=113589&id=112298&id=113339&id=19119&id=36943&id=110811&id=113541&id=110809&id=27517&id=110115&id=19118&id=113590&id=32918&id=10704&id=110812&id=112012&id=5900&id=105564&id=111794&id=5899&id=110806&id=28107&id=5314&id=32644&id=110776&id=111315&id=109309&id=111754&id=100391&id=113545&id=5323&id=2064&id=2068&id=22496&id=113544&id=2066&id=113543&id=2067&id=100403&id=113539&id=8229&id=32432&id=100415&id=111333&id=100392&id=5327&id=5329&id=5310&id=21746&id=2070&id=5951&id=2071&id=30793&id=2072&id=32426&id=100397&id=2073&id=2075&id=2077&id=113537&id=100410&id=109188&id=113146&id=113147&id=113148&id=109177&id=100400&id=6160&id=109186&id=110054&id=112508&id=100401&id=113536&id=109175&id=113549&id=113548&id=112505&id=113149&id=109174&id=37037&id=113534&id=109184&id=110815&id=113150&id=109398&id=113538&id=5334&id=113665&id=100420&id=110064&id=32429&id=112506&id=112507&id=109421&id=112509&id=2080&id=109180&id=5221&id=5950&id=100399&id=100429&id=100416&id=110264&id=5339&id=111759&id=100419&id=100387&id=100402&id=109181&id=22635&id=5328&id=2084&id=22636&id=15044&id=5333&id=113206&id=5405&id=100388&id=22634&id=5457&id=100413&id=100411,,,,,,,,,,,,,
Indiana,http://hivtest.cdc.gov/Detail.aspx?id=1878&id=112776&id=19313&id=10290&id=100475&id=100505&id=62&id=100484&id=29371&id=4474&id=111697&id=1192&id=4471&id=4466&id=4467&id=110306&id=29363&id=112540&id=112993&id=4468&id=29362&id=110065&id=7299&id=100473&id=113273&id=110055&id=110283&id=112858&id=112873&id=37229&id=110277&id=113125&id=100489&id=110284&id=17964&id=1885&id=110048&id=110276&id=15796&id=100455&id=15814&id=113680&id=112872&id=112871&id=5960&id=19577&id=22226&id=4437&id=113681&id=19224&id=5956&id=100485&id=19193&id=110279&id=37&id=112998&id=110047&id=100452&id=29177&id=29179&id=17965&id=100453&id=2555&id=5953&id=5403&id=110067&id=100481&id=100488&id=111639&id=100511&id=1892&id=110805&id=111149&id=32562&id=111789&id=112021&id=111383&id=29381,,,,,,,,,,,,,
Kentucky,http://hivtest.cdc.gov/Detail.aspx?id=3048&id=1827&id=1828&id=16742&id=3045&id=1829&id=7811&id=113107&id=7810&id=112380&id=7800&id=100422&id=15485&id=111709&id=113105&id=5969&id=30831&id=20060&id=113106&id=23731&id=16563&id=16672&id=16568&id=16560&id=1832&id=113052&id=1833&id=3050&id=16673&id=16537&id=100445&id=16670&id=16462&id=16566&id=16570&id=16512&id=111860&id=113049&id=113050&id=5355&id=16527&id=16591&id=19868&id=16609&id=3046&id=113051&id=16551&id=110986&id=5968&id=110987&id=1837&id=1839&id=1840&id=16607&id=30241&id=1841&id=16598&id=16597&id=16605&id=16594&id=16585&id=3043&id=14243&id=100441&id=7807&id=16531&id=100446&id=16575&id=1842&id=1843&id=1844&id=13522&id=100440&id=7802&id=3044&id=1845&id=7803&id=16664&id=111858&id=16580&id=19870&id=16449&id=7664&id=16446&id=16734&id=16718&id=111373&id=16709&id=17669&id=16678&id=16453&id=111857&id=16731&id=16720&id=1848&id=16724&id=37017&id=1849&id=100435&id=112167&id=17670&id=100439&id=7655&id=100438&id=100436&id=100433&id=7654&id=113533&id=1850&id=100434&id=100431&id=100393&id=16422&id=17671&id=16546&id=16395&id=16428&id=16414&id=7656&id=17672&id=7801&id=100385&id=16418&id=13521&id=16701&id=100447&id=16702&id=16691&id=16707&id=7805&id=100448&id=16705&id=100432&id=100424&id=16764&id=109405&id=16783&id=16793&id=16777&id=7804&id=16770&id=16788&id=16757&id=1&id=16773&id=7809&id=1851&id=16416,,,,,,,,,,,,,
Louisiana,http://hivtest.cdc.gov/Detail.aspx?id=2150&id=113507&id=113508&id=17182&id=109703&id=17198&id=9942&id=7546&id=2151&id=5970&id=37020&id=672&id=112231&id=113722&id=5420&id=113274&id=109643&id=5359&id=17263&id=109644&id=5358&id=113275&id=17197&id=17201&id=3210&id=36998&id=2156&id=111996&id=109637&id=109640&id=17200&id=111997&id=5360&id=17259&id=109704&id=109664&id=2158&id=17264&id=109645&id=17194&id=17262&id=109697&id=109698&id=109694&id=2159&id=113145&id=111266&id=109298&id=26972&id=109646&id=109699&id=109661&id=109663&id=113553&id=17278&id=109710&id=2161&id=109647&id=12788&id=2163&id=109660&id=109695&id=17279&id=109707&id=109700&id=17283&id=17280&id=109677&id=2165&id=113554&id=17271&id=109696&id=109658&id=17273&id=109705&id=109678&id=109653&id=17275&id=109701&id=109642&id=109709,,,,,,,,,,,,,
Maryland,http://hivtest.cdc.gov/Detail.aspx?id=110428&id=1498&id=1499&id=1497&id=111704&id=110620&id=22880&id=111874&id=23924&id=170&id=110235&id=20162&id=111229&id=113585&id=15656&id=113431&id=110424&id=101084&id=113584&id=111705&id=1501&id=403&id=113430&id=5971&id=5367&id=32693&id=15676&id=35764&id=8777&id=24900&id=36976&id=15675&id=110616&id=19763&id=112218&id=111829&id=24901&id=112204&id=112219&id=110634&id=113557&id=111832&id=111830&id=112761&id=111408&id=110626&id=110427&id=101086&id=109187&id=113248&id=1512&id=113700&id=1513&id=113586&id=17285&id=110423&id=1514&id=1515&id=15660&id=19766&id=1516&id=109276&id=112285&id=5378&id=19768&id=5423&id=110426&id=109229&id=31100&id=1518&id=15634&id=1519&id=113699,,,,,,,,,,,,,
